10-digit PSGC,Name,Correspondence Code,Geographic Level,Old names,City Class,"Income
Classification (DOF DO No. 074.2024)","Urban / Rural
(based on 2020 CPH)", 2024 Population ,,Status
1300000000,National Capital Region (NCR),130000000,Reg,,,,,"14,001,751",,
1380100000,City of Caloocan,137501000,City,,HUC,1st,,"1,712,945",,
1380100001,Barangay 1,137501001,Bgy,,,,U,"2,356",,
1380100002,Barangay 2,137501002,Bgy,,,,U,"5,226",,
1380100003,Barangay 3,137501003,Bgy,,,,U,"2,544",,
1380100004,Barangay 4,137501004,Bgy,,,,U,"2,934",,
1380100005,Barangay 5,137501005,Bgy,,,,U,"2,893",,
1380100006,Barangay 6,137501006,Bgy,,,,U,"1,262",,
1380100007,Barangay 7,137501007,Bgy,,,,U,"2,642",,
1380100008,Barangay 8,137501008,Bgy,,,,U,"23,262",,
1380100009,Barangay 9,137501009,Bgy,,,,U,"1,842",,
1380100010,Barangay 10,137501010,Bgy,,,,U,"1,517",,
1380100011,Barangay 11,137501011,Bgy,,,,U,"1,889",,
1380100012,Barangay 12,137501012,Bgy,,,,U,"35,887",,
1380100013,Barangay 13,137501013,Bgy,,,,U,"1,290",,
1380100014,Barangay 14,137501014,Bgy,,,,U,"21,553",,
1380100015,Barangay 15,137501015,Bgy,,,,U,"1,452",,
1380100016,Barangay 16,137501016,Bgy,,,,U,"3,721",,
1380100017,Barangay 17,137501017,Bgy,,,,U,"3,553",,
1380100018,Barangay 18,137501018,Bgy,,,,U,"11,293",,
1380100019,Barangay 19,137501019,Bgy,,,,U,"3,742",,
1380100020,Barangay 20,137501020,Bgy,,,,U,"8,055",,
1380100021,Barangay 21,137501021,Bgy,,,,U,"2,896",,
1380100022,Barangay 22,137501022,Bgy,,,,U,"5,747",,
1380100023,Barangay 23,137501023,Bgy,,,,U,"2,841",,
1380100024,Barangay 24,137501024,Bgy,,,,U,"2,596",,
1380100025,Barangay 25,137501025,Bgy,,,,U,"1,651",,
1380100026,Barangay 26,137501026,Bgy,,,,U,"3,800",,
1380100027,Barangay 27,137501027,Bgy,,,,U,"4,280",,
1380100028,Barangay 28,137501028,Bgy,,,,U,"34,247",,
1380100029,Barangay 29,137501029,Bgy,,,,U,"1,628",,
1380100030,Barangay 30,137501030,Bgy,,,,U,"3,525",,
1380100031,Barangay 31,137501031,Bgy,,,,U,"3,809",,
1380100032,Barangay 32,137501032,Bgy,,,,U,"3,143",,
1380100033,Barangay 33,137501033,Bgy,,,,U,"5,676",,
1380100034,Barangay 34,137501034,Bgy,,,,U,"6,594",,
1380100035,Barangay 35,137501035,Bgy,,,,U,"23,716",,
1380100036,Barangay 36,137501036,Bgy,,,,U,"4,236",,
1380100037,Barangay 37,137501037,Bgy,,,,U,"2,955",,
1380100038,Barangay 38,137501038,Bgy,,,,U,"3,904",,
1380100039,Barangay 39,137501039,Bgy,,,,U,915,,
1380100040,Barangay 40,137501040,Bgy,,,,U,"1,000",,
1380100041,Barangay 41,137501041,Bgy,,,,U,938,,
1380100042,Barangay 42,137501042,Bgy,,,,U,743,,
1380100043,Barangay 43,137501043,Bgy,,,,U,"3,659",,
1380100044,Barangay 44,137501044,Bgy,,,,U,556,,
1380100045,Barangay 45,137501045,Bgy,,,,U,324,,
1380100046,Barangay 46,137501046,Bgy,,,,U,"1,479",,
