code,municipality_code,name
1380100001,1380100000,"Barangay 1"
1380100002,1380100000,"Barangay 2"
1380100003,1380100000,"Barangay 3"
1380100004,1380100000,"Barangay 4"
1380100005,1380100000,"Barangay 5"
1380100006,1380100000,"Barangay 6"
1380100007,1380100000,"Barangay 7"
1380100008,1380100000,"Barangay 8"
1380100009,1380100000,"Barangay 9"
1380100010,1380100000,"Barangay 10"
1380100011,1380100000,"Barangay 11"
1380100012,1380100000,"Barangay 12"
1380100013,1380100000,"Barangay 13"
1380100014,1380100000,"Barangay 14"
1380100015,1380100000,"Barangay 15"
1380100016,1380100000,"Barangay 16"
1380100017,1380100000,"Barangay 17"
1380100018,1380100000,"Barangay 18"
1380100019,1380100000,"Barangay 19"
1380100020,1380100000,"Barangay 20"
1380100021,1380100000,"Barangay 21"
1380100022,1380100000,"Barangay 22"
1380100023,1380100000,"Barangay 23"
1380100024,1380100000,"Barangay 24"
1380100025,1380100000,"Barangay 25"
1380100026,1380100000,"Barangay 26"
1380100027,1380100000,"Barangay 27"
1380100028,1380100000,"Barangay 28"
1380100029,1380100000,"Barangay 29"
1380100030,1380100000,"Barangay 30"
1380100031,1380100000,"Barangay 31"
1380100032,1380100000,"Barangay 32"
1380100033,1380100000,"Barangay 33"
1380100034,1380100000,"Barangay 34"
1380100035,1380100000,"Barangay 35"
1380100036,1380100000,"Barangay 36"
1380100037,1380100000,"Barangay 37"
1380100038,1380100000,"Barangay 38"
1380100039,1380100000,"Barangay 39"
1380100040,1380100000,"Barangay 40"
1380100041,1380100000,"Barangay 41"
1380100042,1380100000,"Barangay 42"
1380100043,1380100000,"Barangay 43"
1380100044,1380100000,"Barangay 44"
1380100045,1380100000,"Barangay 45"
1380100046,1380100000,"Barangay 46"
1380100047,1380100000,"Barangay 47"
1380100048,1380100000,"Barangay 48"
1380100049,1380100000,"Barangay 49"
1380100050,1380100000,"Barangay 50"
1380100051,1380100000,"Barangay 51"
1380100052,1380100000,"Barangay 52"
1380100053,1380100000,"Barangay 53"
1380100054,1380100000,"Barangay 54"
1380100055,1380100000,"Barangay 55"
1380100056,1380100000,"Barangay 56"
1380100057,1380100000,"Barangay 57"
1380100058,1380100000,"Barangay 58"
1380100059,1380100000,"Barangay 59"
1380100060,1380100000,"Barangay 60"
1380100061,1380100000,"Barangay 61"
1380100062,1380100000,"Barangay 62"
1380100063,1380100000,"Barangay 63"
1380100064,1380100000,"Barangay 64"
1380100065,1380100000,"Barangay 65"
1380100066,1380100000,"Barangay 66"
1380100067,1380100000,"Barangay 67"
1380100068,1380100000,"Barangay 68"
1380100069,1380100000,"Barangay 69"
1380100070,1380100000,"Barangay 70"
1380100071,1380100000,"Barangay 71"
1380100072,1380100000,"Barangay 72"
1380100073,1380100000,"Barangay 73"
1380100074,1380100000,"Barangay 74"
1380100075,1380100000,"Barangay 75"
1380100076,1380100000,"Barangay 76"
1380100077,1380100000,"Barangay 77"
1380100078,1380100000,"Barangay 78"
1380100079,1380100000,"Barangay 79"
1380100080,1380100000,"Barangay 80"
1380100081,1380100000,"Barangay 81"
1380100082,1380100000,"Barangay 82"
1380100083,1380100000,"Barangay 83"
1380100084,1380100000,"Barangay 84"
1380100085,1380100000,"Barangay 85"
1380100086,1380100000,"Barangay 86"
1380100087,1380100000,"Barangay 87"
1380100088,1380100000,"Barangay 88"
1380100089,1380100000,"Barangay 89"
1380100090,1380100000,"Barangay 90"
1380100091,1380100000,"Barangay 91"
1380100092,1380100000,"Barangay 92"
1380100093,1380100000,"Barangay 93"
1380100094,1380100000,"Barangay 94"
1380100095,1380100000,"Barangay 95"
1380100096,1380100000,"Barangay 96"
1380100097,1380100000,"Barangay 97"
1380100098,1380100000,"Barangay 98"
1380100099,1380100000,"Barangay 99"
1380100100,1380100000,"Barangay 100"
1380100101,1380100000,"Barangay 101"
1380100102,1380100000,"Barangay 102"
1380100103,1380100000,"Barangay 103"
1380100104,1380100000,"Barangay 104"
1380100105,1380100000,"Barangay 105"
1380100106,1380100000,"Barangay 106"
1380100107,1380100000,"Barangay 107"
1380100108,1380100000,"Barangay 108"
1380100109,1380100000,"Barangay 109"
1380100110,1380100000,"Barangay 110"
1380100111,1380100000,"Barangay 111"
1380100112,1380100000,"Barangay 112"
1380100113,1380100000,"Barangay 113"
1380100114,1380100000,"Barangay 114"
1380100115,1380100000,"Barangay 115"
1380100116,1380100000,"Barangay 116"
1380100117,1380100000,"Barangay 117"
1380100118,1380100000,"Barangay 118"
1380100119,1380100000,"Barangay 119"
1380100120,1380100000,"Barangay 120"
1380100121,1380100000,"Barangay 121"
1380100122,1380100000,"Barangay 122"
1380100123,1380100000,"Barangay 123"
1380100124,1380100000,"Barangay 124"
1380100125,1380100000,"Barangay 125"
1380100126,1380100000,"Barangay 126"
1380100127,1380100000,"Barangay 127"
1380100128,1380100000,"Barangay 128"
1380100129,1380100000,"Barangay 129"
1380100130,1380100000,"Barangay 130"
1380100131,1380100000,"Barangay 131"
1380100132,1380100000,"Barangay 132"
1380100133,1380100000,"Barangay 133"
1380100134,1380100000,"Barangay 134"
1380100135,1380100000,"Barangay 135"
1380100136,1380100000,"Barangay 136"
1380100137,1380100000,"Barangay 137"
1380100138,1380100000,"Barangay 138"
1380100139,1380100000,"Barangay 139"
1380100140,1380100000,"Barangay 140"
1380100141,1380100000,"Barangay 141"
1380100142,1380100000,"Barangay 142"
1380100143,1380100000,"Barangay 143"
1380100144,1380100000,"Barangay 144"
1380100145,1380100000,"Barangay 145"
1380100146,1380100000,"Barangay 146"
1380100147,1380100000,"Barangay 147"
1380100148,1380100000,"Barangay 148"
1380100149,1380100000,"Barangay 149"
1380100150,1380100000,"Barangay 150"
1380100151,1380100000,"Barangay 151"
1380100152,1380100000,"Barangay 152"
1380100153,1380100000,"Barangay 153"
