code,province_code,region_name,name,type
1380100000,,"National Capital Region (NCR)","City of Caloocan",city
1380200000,,"National Capital Region (NCR)","City of Las Piñas",city
1380300000,,"National Capital Region (NCR)","City of Makati",city
1380400000,,"National Capital Region (NCR)","City of Malabon",city
1380500000,,"National Capital Region (NCR)","City of Mandaluyong",city
1380600000,,"National Capital Region (NCR)","City of Manila",city
1380700000,,"National Capital Region (NCR)","City of Marikina",city
1380800000,,"National Capital Region (NCR)","City of Muntinlupa",city
1380900000,,"National Capital Region (NCR)","City of Navotas",city
1381000000,,"National Capital Region (NCR)","City of Parañaque",city
1381100000,,"National Capital Region (NCR)","Pasay City",city
1381200000,,"National Capital Region (NCR)","City of Pasig",city
1381300000,,"National Capital Region (NCR)","Quezon City",city
1381400000,,"National Capital Region (NCR)","City of San Juan",city
1381500000,,"National Capital Region (NCR)","City of Taguig",city
1381600000,,"National Capital Region (NCR)","City of Valenzuela",city
1381701000,,"National Capital Region (NCR)",Pateros,municipality
1400101000,1400100000,"Cordillera Administrative Region (CAR)",Bangued,municipality
1400102000,1400100000,"Cordillera Administrative Region (CAR)",Boliney,municipality
1400103000,1400100000,"Cordillera Administrative Region (CAR)",Bucay,municipality
1400104000,1400100000,"Cordillera Administrative Region (CAR)",Bucloc,municipality
1400105000,1400100000,"Cordillera Administrative Region (CAR)",Daguioman,municipality
1400106000,1400100000,"Cordillera Administrative Region (CAR)",Danglas,municipality
1400107000,1400100000,"Cordillera Administrative Region (CAR)",Dolores,municipality
1400108000,1400100000,"Cordillera Administrative Region (CAR)","La Paz",municipality
1400109000,1400100000,"Cordillera Administrative Region (CAR)",Lacub,municipality
1400110000,1400100000,"Cordillera Administrative Region (CAR)",Lagangilang,municipality
1400111000,1400100000,"Cordillera Administrative Region (CAR)",Lagayan,municipality
1400112000,1400100000,"Cordillera Administrative Region (CAR)",Langiden,municipality
1400113000,1400100000,"Cordillera Administrative Region (CAR)",Licuan-Baay,municipality
1400114000,1400100000,"Cordillera Administrative Region (CAR)",Luba,municipality
1400115000,1400100000,"Cordillera Administrative Region (CAR)",Malibcong,municipality
1400116000,1400100000,"Cordillera Administrative Region (CAR)",Manabo,municipality
1400117000,1400100000,"Cordillera Administrative Region (CAR)",Peñarrubia,municipality
1400118000,1400100000,"Cordillera Administrative Region (CAR)",Pidigan,municipality
1400119000,1400100000,"Cordillera Administrative Region (CAR)",Pilar,municipality
1400120000,1400100000,"Cordillera Administrative Region (CAR)",Sallapadan,municipality
1400121000,1400100000,"Cordillera Administrative Region (CAR)","San Isidro",municipality
1400122000,1400100000,"Cordillera Administrative Region (CAR)","San Juan",municipality
1400123000,1400100000,"Cordillera Administrative Region (CAR)","San Quintin",municipality
1400124000,1400100000,"Cordillera Administrative Region (CAR)",Tayum,municipality
1400125000,1400100000,"Cordillera Administrative Region (CAR)",Tineg,municipality
1400126000,1400100000,"Cordillera Administrative Region (CAR)",Tubo,municipality
1400127000,1400100000,"Cordillera Administrative Region (CAR)",Villaviciosa,municipality
1401101000,1401100000,"Cordillera Administrative Region (CAR)",Atok,municipality
1401103000,1401100000,"Cordillera Administrative Region (CAR)",Bakun,municipality
1401104000,1401100000,"Cordillera Administrative Region (CAR)",Bokod,municipality
1401105000,1401100000,"Cordillera Administrative Region (CAR)",Buguias,municipality
1401106000,1401100000,"Cordillera Administrative Region (CAR)",Itogon,municipality
1401107000,1401100000,"Cordillera Administrative Region (CAR)",Kabayan,municipality
1401108000,1401100000,"Cordillera Administrative Region (CAR)",Kapangan,municipality
1401109000,1401100000,"Cordillera Administrative Region (CAR)",Kibungan,municipality
1401110000,1401100000,"Cordillera Administrative Region (CAR)","La Trinidad",municipality
1401111000,1401100000,"Cordillera Administrative Region (CAR)",Mankayan,municipality
1401112000,1401100000,"Cordillera Administrative Region (CAR)",Sablan,municipality
1401113000,1401100000,"Cordillera Administrative Region (CAR)",Tuba,municipality
1401114000,1401100000,"Cordillera Administrative Region (CAR)",Tublay,municipality
1402701000,1402700000,"Cordillera Administrative Region (CAR)",Banaue,municipality
1402702000,1402700000,"Cordillera Administrative Region (CAR)",Hungduan,municipality
1402703000,1402700000,"Cordillera Administrative Region (CAR)",Kiangan,municipality
1402704000,1402700000,"Cordillera Administrative Region (CAR)",Lagawe,municipality
1402705000,1402700000,"Cordillera Administrative Region (CAR)",Lamut,municipality
