code,name,region_name
1400100000,Abra,"Cordillera Administrative Region (CAR)"
1401100000,Benguet,"Cordillera Administrative Region (CAR)"
1402700000,Ifugao,"Cordillera Administrative Region (CAR)"
1403200000,Kalinga,"Cordillera Administrative Region (CAR)"
1404400000,"Mountain Province","Cordillera Administrative Region (CAR)"
1408100000,Apayao,"Cordillera Administrative Region (CAR)"
102800000,"Ilocos Norte","Region I (Ilocos Region)"
102900000,"Ilocos Sur","Region I (Ilocos Region)"
103300000,"La Union","Region I (Ilocos Region)"
105500000,Pangasinan,"Region I (Ilocos Region)"
200900000,Batanes,"Region II (Cagayan Valley)"
201500000,Cagayan,"Region II (Cagayan Valley)"
203100000,Isabela,"Region II (Cagayan Valley)"
205000000,"Nueva Vizcaya","Region II (Cagayan Valley)"
205700000,Quirino,"Region II (Cagayan Valley)"
300800000,Bataan,"Region III (Central Luzon)"
301400000,Bulacan,"Region III (Central Luzon)"
304900000,"Nueva Ecija","Region III (Central Luzon)"
305400000,Pampanga,"Region III (Central Luzon)"
306900000,Tarlac,"Region III (Central Luzon)"
307100000,Zambales,"Region III (Central Luzon)"
307700000,Aurora,"Region III (Central Luzon)"
401000000,Batangas,"Region IV-A (CALABARZON)"
402100000,Cavite,"Region IV-A (CALABARZON)"
403400000,Laguna,"Region IV-A (CALABARZON)"
405600000,Quezon,"Region IV-A (CALABARZON)"
405800000,Rizal,"Region IV-A (CALABARZON)"
1704000000,Marinduque,"MIMAROPA Region"
1705100000,"Occidental Mindoro","MIMAROPA Region"
1705200000,"Oriental Mindoro","MIMAROPA Region"
1705300000,Palawan,"MIMAROPA Region"
1705900000,Romblon,"MIMAROPA Region"
500500000,Albay,"Region V (Bicol Region)"
501600000,"Camarines Norte","Region V (Bicol Region)"
501700000,"Camarines Sur","Region V (Bicol Region)"
502000000,Catanduanes,"Region V (Bicol Region)"
504100000,Masbate,"Region V (Bicol Region)"
506200000,Sorsogon,"Region V (Bicol Region)"
600400000,Aklan,"Region VI (Western Visayas)"
600600000,Antique,"Region VI (Western Visayas)"
601900000,Capiz,"Region VI (Western Visayas)"
603000000,Iloilo,"Region VI (Western Visayas)"
607900000,Guimaras,"Region VI (Western Visayas)"
1804500000,"Negros Occidental","Negros Island Region (NIR)"
1804600000,"Negros Oriental","Negros Island Region (NIR)"
1806100000,Siquijor,"Negros Island Region (NIR)"
701200000,Bohol,"Region VII (Central Visayas)"
702200000,Cebu,"Region VII (Central Visayas)"
802600000,"Eastern Samar","Region VIII (Eastern Visayas)"
803700000,Leyte,"Region VIII (Eastern Visayas)"
804800000,"Northern Samar","Region VIII (Eastern Visayas)"
806000000,Samar,"Region VIII (Eastern Visayas)"
806400000,"Southern Leyte","Region VIII (Eastern Visayas)"
807800000,Biliran,"Region VIII (Eastern Visayas)"
906600000,Sulu,"Region IX (Zamboanga Peninsula)"
907200000,"Zamboanga del Norte","Region IX (Zamboanga Peninsula)"
907300000,"Zamboanga del Sur","Region IX (Zamboanga Peninsula)"
908300000,"Zamboanga Sibugay","Region IX (Zamboanga Peninsula)"
1001300000,Bukidnon,"Region X (Northern Mindanao)"
1001800000,Camiguin,"Region X (Northern Mindanao)"
1003500000,"Lanao del Norte","Region X (Northern Mindanao)"
1004200000,"Misamis Occidental","Region X (Northern Mindanao)"
1004300000,"Misamis Oriental","Region X (Northern Mindanao)"
1102300000,"Davao del Norte","Region XI (Davao Region)"
1102400000,"Davao del Sur","Region XI (Davao Region)"
1102500000,"Davao Oriental","Region XI (Davao Region)"
1108200000,"Davao de Oro","Region XI (Davao Region)"
1108600000,"Davao Occidental","Region XI (Davao Region)"
1204700000,Cotabato,"Region XII (SOCCSKSARGEN)"
1206300000,"South Cotabato","Region XII (SOCCSKSARGEN)"
1206500000,"Sultan Kudarat","Region XII (SOCCSKSARGEN)"
1208000000,Sarangani,"Region XII (SOCCSKSARGEN)"
1600200000,"Agusan del Norte","Region XIII (Caraga)"
1600300000,"Agusan del Sur","Region XIII (Caraga)"
1606700000,"Surigao del Norte","Region XIII (Caraga)"
1606800000,"Surigao del Sur","Region XIII (Caraga)"
1608500000,"Dinagat Islands","Region XIII (Caraga)"
1900700000,Basilan,"Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)"
1903600000,"Lanao del Sur","Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)"
1907000000,Tawi-Tawi,"Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)"
1908700000,"Maguindanao del Norte","Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)"
1908800000,"Maguindanao del Sur","Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)"
